net,length_um
_0083_,8.06µm
_0484_,8.06µm
_0637_,8.06µm
_0679_,8.06µm
_0855_,8.06µm
_1517_,8.06µm
_2466_,8.06µm
U_TOP.U_UART.U_SASC_TOP.rx_fifo.mem\[3\]\[1\],8.04µm
_0753_,8.04µm
_0000_,8.02µm
_0136_,8.02µm
_0234_,8.02µm
_0830_,8.02µm
_1192_,8.02µm
_1492_,8.02µm
_2202_,8.02µm
_2325_,8.02µm
net594,8.02µm
net800,8.02µm
_2495_,7.995µm
_0981_,7.98µm
_1887_,7.98µm
_1912_,7.98µm
_1964_,7.98µm
_2356_,7.98µm
_2406_,7.98µm
_2464_,7.98µm
_2534_,7.98µm
net618,7.98µm
net777,7.98µm
U_TOP.U_CACHE.if_mis_req_addr_pend\[3\],7.96µm
_1793_,7.94µm
_1325_,7.92µm
_1609_,7.92µm
_1628_,7.92µm
_1814_,7.92µm
net791,7.92µm
U_TOP.U_CACHE.if_mis_req_addr_pend\[12\],7.9µm
U_TOP.U_CACHE.ic_d1\[20\],7.88µm
_0189_,7.88µm
_2040_,7.88µm
net831,7.88µm
U_TOP.U_CACHE.bus_pend_wdata\[27\],7.86µm
U_TOP.U_CACHE.ic_d3\[4\],7.86µm
_0039_,7.86µm
_1921_,7.86µm
net450,7.84µm
_0297_,7.82µm
_0696_,7.82µm
net418,7.82µm
_0221_,7.805µm
U_TOP.U_CACHE.ic_a1\[4\],7.8µm
_0243_,7.8µm
_0330_,7.8µm
_0659_,7.8µm
_0909_,7.8µm
U_TOP.U_CACHE.bus_pend_wdata\[12\],7.78µm
_1009_,7.78µm
net731,7.78µm
_0463_,7.76µm
_1213_,7.76µm
_1493_,7.76µm
_1891_,7.76µm
_2338_,7.75µm
_0306_,7.72µm
_0313_,7.72µm
_1597_,7.72µm
_1924_,7.7µm
_0644_,7.68µm
_0805_,7.68µm
_1507_,7.68µm
_2171_,7.68µm
_2310_,7.68µm
_2510_,7.68µm
_1155_,7.66µm
_1222_,7.66µm
_1355_,7.66µm
net461,7.66µm
net761,7.66µm
U_TOP.U_CACHE.DM_ADDR\[2\],7.64µm
U_TOP.U_CACHE.bus_repl_addr\[3\],7.64µm
U_TOP.U_CACHE.if_hit_dphase_addr\[0\],7.64µm
_0057_,7.64µm
_0345_,7.64µm
_0421_,7.64µm
_1385_,7.64µm
_2472_,7.64µm
_0323_,7.6µm
_1486_,7.6µm
_1652_,7.6µm
net451,7.6µm
net662,7.6µm
net689,7.6µm
net366,7.59µm
_1577_,7.58µm
net811,7.58µm
_0236_,7.56µm
_0512_,7.56µm
_1010_,7.56µm
_1092_,7.56µm
_1214_,7.56µm
_1864_,7.56µm
_2090_,7.56µm
_2358_,7.56µm
_2712_,7.56µm
_1348_,7.54µm
_2711_,7.54µm
_0492_,7.52µm
_1423_,7.52µm
_1466_,7.52µm
_2071_,7.52µm
net386,7.52µm
net559,7.52µm
net625,7.52µm
U_TOP.U_CACHE.ic_d0\[21\],7.5µm
_0315_,7.48µm
_0807_,7.48µm
_1223_,7.48µm
_2660_,7.48µm
_0278_,7.46µm
_1501_,7.46µm
net485,7.46µm
net644,7.46µm
net703,7.46µm
net767,7.46µm
_1840_,7.455µm
U_TOP.U_UART.U_SASC_TOP.tx_fifo.mem\[0\]\[1\],7.44µm
U_TOP.U_UART.U_SASC_TOP.tx_fifo.mem\[3\]\[5\],7.44µm
_1360_,7.44µm
_2150_,7.44µm
_2301_,7.44µm
net464,7.44µm
U_TOP.U_CACHE.if_mis_req_addr_pend\[5\],7.42µm
_0955_,7.42µm
net381,7.42µm
net736,7.42µm
net816,7.42µm
_0620_,7.4µm
_1169_,7.4µm
net405,7.38µm
_2098_,7.36µm
net489,7.36µm
net555,7.36µm
net595,7.36µm
_0104_,7.345µm
_0177_,7.34µm
_0776_,7.34µm
U_TOP.U_UART.U_SASC_TOP.dpll_state\[2\],7.32µm
_0599_,7.32µm
_0613_,7.32µm
_0616_,7.32µm
_2068_,7.32µm
_2332_,7.32µm
_0054_,7.31µm
_0245_,7.3µm
_1469_,7.3µm
_1767_,7.3µm
_2112_,7.295µm
_2619_,7.28µm
_1539_,7.275µm
_0438_,7.26µm
_0506_,7.26µm
_0877_,7.24µm
_1627_,7.24µm
_2231_,7.24µm
_2617_,7.24µm
_2642_,7.24µm
_0200_,7.22µm
_0515_,7.22µm
_1581_,7.22µm
_1882_,7.2µm
U_TOP.U_RAM.wdata\[2\],7.18µm
_0338_,7.18µm
_0355_,7.18µm
_0502_,7.18µm
_2053_,7.18µm
_2695_,7.18µm
_2699_,7.18µm
_2706_,7.18µm
net643,7.18µm
net645,7.18µm
_0192_,7.165µm
_1006_,7.16µm
_2126_,7.15µm
_0099_,7.145µm
U_TOP.U_CACHE.if_mis_dphase_addr\[0\],7.14µm
_1061_,7.14µm
_2600_,7.14µm
net440,7.14µm
net613,7.14µm
_0971_,7.1µm
_0977_,7.1µm
_1233_,7.1µm
_2172_,7.1µm
_2487_,7.1µm
_2587_,7.1µm
_2659_,7.1µm
U_TOP.U_CACHE.ic_d3\[12\],7.095µm
_2365_,7.08µm
U_TOP.U_CACHE.ic_d0\[9\],7.06µm
U_TOP.U_CPU.dr_data_keep\[6\],7.06µm
_0677_,7.06µm
_1505_,7.06µm
_1944_,7.06µm
_2454_,7.06µm
_2548_,7.06µm
_2664_,7.06µm
net509,7.06µm
net512,7.06µm
net616,7.06µm
_0259_,7.025µm
net652,7µm
net690,7µm
net813,7µm
_1721_,6.98µm
_1937_,6.98µm
_2239_,6.98µm
U_TOP.U_CACHE.ic_d1\[17\],6.96µm
_0808_,6.96µm
_1216_,6.96µm
net487,6.96µm
net788,6.96µm
U_TOP.U_CACHE.bus_pend_wdata\[23\],6.945µm
_0569_,6.94µm
_0602_,6.94µm
_1487_,6.94µm
net778,6.94µm
_1829_,6.92µm
_1936_,6.92µm
net437,6.92µm
_1503_,6.9µm
net401,6.9µm
net533,6.9µm
_0045_,6.885µm
_0462_,6.88µm
_0481_,6.88µm
_0624_,6.88µm
_0692_,6.88µm
_0844_,6.88µm
_0992_,6.88µm
_1603_,6.88µm
U_TOP.U_CACHE.bus_repl_addr\[4\],6.86µm
U_TOP.U_CACHE.ic_d1\[27\],6.86µm
_0363_,6.86µm
_1269_,6.86µm
_1681_,6.86µm
_2683_,6.86µm
net583,6.86µm
U_TOP.U_CACHE.ic_d0\[15\],6.84µm
_0161_,6.84µm
_0410_,6.84µm
_0429_,6.84µm
_1837_,6.84µm
_2694_,6.84µm
_0115_,6.825µm
_0122_,6.825µm
_2212_,6.795µm
_0779_,6.78µm
_1757_,6.78µm
_2178_,6.78µm
_2322_,6.78µm
net636,6.78µm
_0067_,6.76µm
_0227_,6.76µm
_0233_,6.76µm
_0765_,6.76µm
_0894_,6.76µm
_1528_,6.76µm
_2292_,6.76µm
net771,6.76µm
net810,6.76µm
_0638_,6.74µm
_0883_,6.74µm
_1760_,6.74µm
_2562_,6.74µm
net623,6.74µm
U_TOP.QSPI_SCK_E,6.72µm
U_TOP.U_CACHE.bus_pend_wdata\[24\],6.72µm
U_TOP.U_CPU.indent\[0\],6.72µm
U_TOP.U_UART.U_SASC_TOP.tx_fifo.mem\[0\]\[5\],6.72µm
_0523_,6.72µm
_1310_,6.72µm
_1491_,6.72µm
_1599_,6.72µm
_1643_,6.72µm
_1843_,6.72µm
_1993_,6.72µm
_2100_,6.72µm
_2345_,6.72µm
_2386_,6.72µm
_0059_,6.705µm
_0524_,6.7µm
_2102_,6.7µm
_0206_,6.685µm
net367,6.67µm
U_TOP.U_CACHE.bus_pend_addr\[5\],6.66µm
_1231_,6.66µm
_2479_,6.66µm
net462,6.66µm
U_TOP.U_UART.U_SASC_TOP.tx_fifo.mem\[3\]\[4\],6.64µm
_0422_,6.64µm
_1356_,6.64µm
_1626_,6.64µm
_1940_,6.64µm
_2081_,6.64µm
_2181_,6.64µm
_2353_,6.64µm
_2371_,6.64µm
net851,6.64µm
U_TOP.U_CACHE.ic_d2\[29\],6.62µm
_0148_,6.62µm
_2526_,6.62µm
_0611_,6.605µm
U_TOP.U_CACHE.ic_d2\[19\],6.6µm
_0596_,6.6µm
_1007_,6.6µm
_1910_,6.6µm
_2140_,6.6µm
_2195_,6.6µm
_2251_,6.6µm
_2257_,6.6µm
_2636_,6.6µm
net420,6.6µm
_2516_,6.54µm
_0003_,6.52µm
_1113_,6.52µm
_1704_,6.52µm
_2129_,6.52µm
_2551_,6.52µm
net498,6.52µm
net704,6.52µm
_0759_,6.5µm
net546,6.5µm
net628,6.5µm
U_TOP.U_CACHE.ic_d2\[6\],6.49µm
_0005_,6.48µm
_0164_,6.48µm
_0619_,6.48µm
_2137_,6.48µm
_0033_,6.46µm
_0879_,6.44µm
net411,6.44µm
net428,6.44µm
net488,6.44µm
net575,6.44µm
net684,6.44µm
net743,6.44µm
net769,6.44µm
_0157_,6.42µm
_0404_,6.42µm
_0628_,6.42µm
_1156_,6.42µm
_1442_,6.42µm
_1592_,6.42µm
U_TOP.U_CACHE.ic_d0\[18\],6.4µm
U_TOP.U_CACHE.ic_d3\[18\],6.4µm
U_TOP.U_RAM.wdata\[0\],6.4µm
_0418_,6.4µm
_0551_,6.38µm
_1227_,6.38µm
_2000_,6.38µm
net611,6.38µm
_0042_,6.365µm
_0102_,6.365µm
_0109_,6.365µm
_0123_,6.365µm
_0125_,6.365µm
_2517_,6.36µm
net408,6.36µm
U_TOP.U_RAM.QSPI_SIO_E\[0\],6.32µm
_0809_,6.32µm
_1229_,6.32µm
_2576_,6.32µm
net392,6.32µm
net432,6.32µm
_0035_,6.3µm
_0214_,6.3µm
_0261_,6.3µm
_0356_,6.3µm
_0431_,6.3µm
_0516_,6.3µm
_0657_,6.3µm
_0943_,6.3µm
_2261_,6.3µm
_2357_,6.3µm
_2420_,6.3µm
_2691_,6.3µm
net536,6.3µm
net545,6.3µm
net634,6.3µm
U_TOP.U_UART.U_SASC_TOP.tx_fifo.mem\[1\]\[0\],6.28µm
_1443_,6.28µm
net513,6.28µm
net516,6.28µm
U_TOP.U_CPU.dr_data_keep\[7\],6.26µm
U_TOP.U_UART.U_SASC_TOP.rxd_dly\[2\],6.26µm
_0286_,6.26µm
_0289_,6.26µm
_0448_,6.26µm
_0488_,6.26µm
_0975_,6.26µm
_1311_,6.26µm
_1398_,6.26µm
_1708_,6.26µm
_2064_,6.26µm
_2182_,6.26µm
_2243_,6.26µm
_2638_,6.26µm
net558,6.26µm
_0587_,6.24µm
_2045_,6.24µm
_0097_,6.225µm
_2128_,6.2µm
_2167_,6.2µm
_1350_,6.195µm
_0046_,6.185µm
_0110_,6.185µm
_0220_,6.185µm
_0857_,6.18µm
_1339_,6.18µm
_1929_,6.18µm
_2161_,6.18µm
_2614_,6.18µm
net817,6.18µm
_0560_,6.145µm
U_TOP.U_CACHE.IF_ADDR\[12\],6.14µm
U_TOP.U_CACHE.bus_pend_wdata\[31\],6.14µm
U_TOP.U_CACHE.bus_repl_addr\[9\],6.14µm
_0843_,6.14µm
_0888_,6.14µm
_1017_,6.14µm
_1312_,6.14µm
_1688_,6.14µm
_2065_,6.14µm
_2275_,6.14µm
_2531_,6.14µm
_2592_,6.14µm
net490,6.14µm
net519,6.14µm
net531,6.14µm
net587,6.14µm
net588,6.14µm
net843,6.14µm
_0217_,6.105µm
_2538_,6.08µm
net493,6.08µm
net630,6.08µm
net685,6.08µm
_1016_,6.06µm
_1256_,6.06µm
_2302_,6.06µm
_2556_,6.04µm
net530,6.04µm
net733,6.04µm
U_TOP.U_UART.BRG.ps_clr,6.02µm
_0312_,6.02µm
_0445_,6.02µm
_0622_,6.02µm
_0173_,5.985µm
net434,5.98µm
net480,5.98µm
net633,5.98µm
net844,5.98µm
_0153_,5.96µm
_0513_,5.96µm
_0568_,5.96µm
_0577_,5.96µm
_2004_,5.96µm
U_TOP.U_CACHE.ic_d0\[5\],5.94µm
U_TOP.U_CACHE.ic_d2\[11\],5.94µm
U_TOP.U_UART.U_SASC_TOP.hold_reg\[3\],5.94µm
_0070_,5.94µm
_0480_,5.94µm
_0573_,5.94µm
_1234_,5.94µm
_1436_,5.94µm
_2192_,5.94µm
_0292_,5.92µm
_0629_,5.92µm
_0862_,5.92µm
_1858_,5.92µm
_1999_,5.92µm
net564,5.9µm
_0224_,5.895µm
U_TOP.U_CACHE.ic_d3\[1\],5.86µm
U_TOP.U_UART.U_SASC_TOP.rx_sio_ce_r2,5.86µm
_0987_,5.86µm
_1494_,5.86µm
net585,5.86µm
net748,5.86µm
net766,5.86µm
U_TOP.U_CACHE.IF_ADDR\[8\],5.84µm
_0408_,5.84µm
_0428_,5.84µm
_0441_,5.84µm
_0690_,5.84µm
_0946_,5.84µm
_1561_,5.84µm
_1668_,5.84µm
_2005_,5.84µm
_2400_,5.84µm
_2506_,5.84µm
_2647_,5.84µm
net728,5.84µm
_0051_,5.82µm
_1509_,5.82µm
_1919_,5.82µm
_2323_,5.82µm
_2709_,5.82µm
net476,5.82µm
U_TOP.U_CACHE.ic_d3\[31\],5.8µm
U_TOP.U_CPU.ir_data_keep\[2\],5.8µm
U_TOP.U_CPU.ir_data_keep\[3\],5.8µm
_0201_,5.8µm
_0322_,5.8µm
_0361_,5.8µm
_0543_,5.8µm
_0626_,5.8µm
_0998_,5.8µm
_2058_,5.8µm
_2481_,5.8µm
_0263_,5.74µm
_2477_,5.74µm
_2567_,5.74µm
_1209_,5.72µm
_1426_,5.72µm
_1771_,5.72µm
_1888_,5.72µm
_1963_,5.72µm
_2066_,5.72µm
_2432_,5.72µm
_2612_,5.72µm
_2689_,5.72µm
_2717_,5.72µm
net653,5.7µm
_0358_,5.685µm
_0698_,5.68µm
_1029_,5.68µm
_1202_,5.68µm
_1367_,5.68µm
_1405_,5.68µm
_1504_,5.68µm
_1574_,5.68µm
_1768_,5.68µm
_2169_,5.68µm
_2557_,5.68µm
_2645_,5.68µm
_2696_,5.68µm
net497,5.68µm
net620,5.68µm
net658,5.68µm
_0439_,5.665µm
_0238_,5.645µm
_0575_,5.645µm
_1004_,5.62µm
net551,5.62µm
net656,5.62µm
_0194_,5.605µm
U_TOP.U_CACHE.bus_pend_addr\[12\],5.6µm
_1267_,5.6µm
_2273_,5.6µm
_2461_,5.6µm
_2633_,5.6µm
net524,5.6µm
net779,5.6µm
_0103_,5.58µm
_0112_,5.58µm
_0180_,5.58µm
_1425_,5.58µm
_2038_,5.58µm
net540,5.58µm
net718,5.58µm
net822,5.58µm
_1817_,5.56µm
net631,5.56µm
_1341_,5.52µm
_1665_,5.52µm
_1832_,5.52µm
_1902_,5.52µm
_2033_,5.52µm
_2186_,5.52µm
net674,5.52µm
net691,5.52µm
net758,5.52µm
net840,5.52µm
_0154_,5.5µm
_0280_,5.5µm
_0434_,5.5µm
_0673_,5.5µm
_2062_,5.5µm
net5,5.5µm
_0842_,5.49µm
U_TOP.U_CACHE.if_mis_req_addr_pend\[2\],5.48µm
_0197_,5.46µm
_0237_,5.46µm
_0310_,5.46µm
_0381_,5.46µm
_0476_,5.46µm
_0527_,5.46µm
_1769_,5.46µm
_1779_,5.46µm
_2135_,5.46µm
_2267_,5.46µm
_1825_,5.44µm
_0641_,5.4µm
net720,5.4µm
U_TOP.U_CACHE.ic_d0\[31\],5.38µm
_0010_,5.38µm
_0412_,5.38µm
_0630_,5.38µm
_1073_,5.38µm
_1833_,5.38µm
_2105_,5.38µm
_2555_,5.38µm
_2663_,5.38µm
net568,5.38µm
_1185_,5.36µm
_1386_,5.36µm
_1763_,5.36µm
_2475_,5.36µm
_2507_,5.36µm
_2568_,5.36µm
U_TOP.U_UART.BRG.sio_ce_x4_t,5.34µm
_0307_,5.34µm
_0324_,5.34µm
_0661_,5.34µm
_0936_,5.34µm
_1070_,5.34µm
_1972_,5.34µm
_2003_,5.34µm
_2410_,5.34µm
_0831_,5.28µm
_1654_,5.28µm
_1742_,5.28µm
_2422_,5.28µm
_2561_,5.28µm
_0222_,5.265µm
_1750_,5.265µm
U_TOP.U_RAM.wdata\[4\],5.26µm
_0401_,5.26µm
_0892_,5.26µm
_1081_,5.26µm
_1430_,5.26µm
_1462_,5.26µm
_2438_,5.26µm
_2708_,5.26µm
net586,5.26µm
net624,5.26µm
net708,5.26µm
net804,5.26µm
net852,5.26µm
_0583_,5.24µm
_1391_,5.24µm
_2480_,5.24µm
_1845_,5.235µm
_0666_,5.225µm
_0006_,5.22µm
_0785_,5.22µm
_0792_,5.22µm
_0801_,5.22µm
_0867_,5.22µm
_1314_,5.22µm
_1663_,5.22µm
_1926_,5.22µm
_2147_,5.22µm
_2528_,5.22µm
_0218_,5.165µm
_0449_,5.16µm
_1920_,5.16µm
_2620_,5.16µm
net528,5.16µm
_0053_,5.14µm
_0196_,5.14µm
_1268_,5.14µm
_2054_,5.14µm
_2200_,5.14µm
net735,5.14µm
net453,5.12µm
_1789_,5.1µm
_0835_,5.06µm
_0873_,5.06µm
_1167_,5.06µm
_1547_,5.06µm
_2049_,5.06µm
net554,5.06µm
net592,5.06µm
net705,5.06µm
net762,5.06µm
net768,5.06µm
_0249_,5.04µm
_0493_,5.04µm
_0495_,5.04µm
_0567_,5.04µm
_0584_,5.04µm
_0588_,5.04µm
_1903_,5.04µm
_0822_,5.02µm
_1303_,5.02µm
_1368_,5.02µm
_0036_,5µm
_0326_,5µm
_1646_,5µm
_1707_,5µm
_1797_,5µm
_2351_,5µm
net456,5µm
_1074_,4.94µm
_1550_,4.94µm
_2596_,4.94µm
_2682_,4.94µm
net474,4.94µm
net499,4.94µm
U_TOP.U_CACHE.bus_repl_addr\[10\],4.92µm
_0343_,4.92µm
_0465_,4.92µm
_0814_,4.92µm
_0988_,4.92µm
_2139_,4.92µm
_2236_,4.92µm
_2483_,4.92µm
net507,4.92µm
net600,4.92µm
net665,4.92µm
net742,4.92µm
U_TOP.U_CACHE.bus_pend_wdata\[11\],4.9µm
U_TOP.U_CACHE.ic_d3\[29\],4.9µm
_1402_,4.9µm
_2136_,4.9µm
_0013_,4.895µm
_1034_,4.885µm
_0275_,4.88µm
_0474_,4.88µm
_0828_,4.88µm
_0964_,4.88µm
_0979_,4.88µm
_1217_,4.88µm
_1470_,4.88µm
_1497_,4.88µm
_1621_,4.88µm
_1700_,4.88µm
_1711_,4.88µm
net707,4.88µm
_0872_,4.82µm
_1012_,4.82µm
_1448_,4.82µm
_1811_,4.82µm
_2554_,4.82µm
U_TOP.U_CPU.dr_data_keep\[3\],4.8µm
_0598_,4.8µm
_0723_,4.8µm
_0802_,4.8µm
_1723_,4.8µm
_1737_,4.8µm
_2092_,4.8µm
_2252_,4.8µm
_2426_,4.8µm
_2467_,4.8µm
_2714_,4.8µm
net755,4.8µm
net829,4.8µm
_1201_,4.78µm
_1594_,4.78µm
_2577_,4.78µm
_2145_,4.76µm
_2197_,4.76µm
_2335_,4.76µm
_2133_,4.74µm
_1162_,4.7µm
_1566_,4.7µm
net388,4.7µm
net812,4.7µm
net847,4.7µm
U_TOP.U_CACHE.bus_repl_addr\[15\],4.68µm
_0305_,4.68µm
_0490_,4.68µm
_0758_,4.68µm
_0990_,4.68µm
_1366_,4.68µm
_1479_,4.68µm
net467,4.675µm
_0262_,4.66µm
_0983_,4.66µm
_2626_,4.66µm
net402,4.66µm
net429,4.66µm
net439,4.66µm
net562,4.66µm
net680,4.66µm
net772,4.66µm
_0277_,4.6µm
_0455_,4.6µm
_1552_,4.6µm
_1565_,4.6µm
net465,4.6µm
net508,4.6µm
net535,4.6µm
net639,4.6µm
net648,4.6µm
net692,4.6µm
_0211_,4.585µm
U_TOP.U_UART.U_SASC_TOP.tx_fifo.rp\[0\],4.58µm
_0319_,4.58µm
_0387_,4.58µm
_0419_,4.58µm
_0500_,4.58µm
_0795_,4.58µm
_1839_,4.58µm
U_TOP.U_CACHE.bus_pend_wdata\[13\],4.56µm
_0432_,4.56µm
_0537_,4.56µm
_0562_,4.56µm
_2032_,4.56µm
net795,4.56µm
_0050_,4.54µm
_0077_,4.54µm
_0168_,4.54µm
_0508_,4.54µm
_0572_,4.54µm
_0597_,4.54µm
net563,4.54µm
net698,4.54µm
_1868_,4.52µm
_1232_,4.48µm
_1819_,4.48µm
_2039_,4.48µm
net4,4.48µm
net472,4.48µm
net481,4.48µm
U_TOP.U_CACHE.bus_repl_addr\[2\],4.46µm
U_TOP.U_CPU.ir_data_keep\[1\],4.46µm
U_TOP.U_UART.U_SASC_TOP.tx_fifo.mem\[1\]\[2\],4.46µm
_0072_,4.46µm
_0183_,4.46µm
_0336_,4.46µm
_0612_,4.46µm
_1206_,4.46µm
_2035_,4.46µm
_2073_,4.46µm
_2127_,4.46µm
_2505_,4.46µm
_2652_,4.46µm
_2674_,4.46µm
_2701_,4.46µm
net505,4.46µm
net567,4.46µm
net627,4.46µm
net657,4.46µm
net749,4.46µm
_1648_,4.44µm
_2067_,4.44µm
_0074_,4.42µm
_0228_,4.42µm
_2103_,4.42µm
net666,4.42µm
_0190_,4.405µm
_0105_,4.385µm
_0126_,4.385µm
_1866_,4.36µm
_2237_,4.36µm
_2564_,4.36µm
_2713_,4.36µm
_0178_,4.34µm
_0213_,4.34µm
_1292_,4.34µm
_1306_,4.34µm
_1601_,4.34µm
_1694_,4.34µm
_1809_,4.34µm
_1828_,4.34µm
_2076_,4.34µm
_2424_,4.34µm
_2522_,4.34µm
_2524_,4.34µm
_2584_,4.34µm
_2679_,4.34µm
net711,4.34µm
_1699_,4.32µm
net375,4.305µm
_0390_,4.3µm
_0061_,4.265µm
net621,4.24µm
net794,4.24µm
net798,4.24µm
_0131_,4.22µm
_0471_,4.22µm
_0526_,4.22µm
_0643_,4.22µm
_0447_,4.2µm
net593,4.2µm
net726,4.2µm
_1744_,4.18µm
_1166_,4.14µm
net463,4.14µm
_0501_,4.12µm
_0532_,4.12µm
_0545_,4.12µm
_0565_,4.12µm
_1548_,4.12µm
_2093_,4.12µm
U_TOP.U_UART.U_SASC_TOP.dpll_state\[0\],4.11µm
_0762_,4.1µm
_1812_,4.1µm
_1846_,4.1µm
_2692_,4.1µm
_0063_,4.095µm
_0175_,4.08µm
_0239_,4.08µm
_0566_,4.08µm
_1000_,4.08µm
_1035_,4.08µm
_1352_,4.08µm
_0199_,4.02µm
_0258_,4.02µm
_1555_,4.02µm
_2198_,4.02µm
_2383_,4.02µm
net681,4.02µm
U_TOP.U_CACHE.bus_pend_addr\[14\],4µm
U_TOP.U_CACHE.bus_pend_wdata\[10\],4µm
U_TOP.U_CPU.dr_data_keep\[1\],4µm
U_TOP.U_CPU.dr_data_keep\[5\],4µm
U_TOP.U_CPU.ir_data_keep\[4\],4µm
_0130_,4µm
_0187_,4µm
_0371_,4µm
_0400_,4µm
_0496_,4µm
_0509_,4µm
_0556_,4µm
_0824_,4µm
_0870_,4µm
_0882_,4µm
_1235_,4µm
_1607_,4µm
_1650_,4µm
_1677_,4µm
_1978_,4µm
_2017_,4µm
_2030_,4µm
_2250_,4µm
_2321_,4µm
_2442_,4µm
_2484_,4µm
net722,4µm
_0897_,3.98µm
_1024_,3.98µm
_1048_,3.98µm
_1880_,3.98µm
_1933_,3.98µm
_2468_,3.98µm
_1962_,3.93µm
_0090_,3.925µm
_0450_,3.91µm
U_TOP.U_UART.U_SASC_TOP.rx_sio_ce_r1,3.9µm
_2180_,3.9µm
_2535_,3.9µm
U_TOP.U_CACHE.bus_repl_addr\[6\],3.88µm
_0369_,3.88µm
_0918_,3.88µm
_1027_,3.88µm
_1344_,3.88µm
_1638_,3.88µm
_1660_,3.88µm
_1791_,3.88µm
_2199_,3.88µm
_2253_,3.88µm
_2372_,3.88µm
_2450_,3.88µm
_2644_,3.88µm
net389,3.88µm
net504,3.88µm
net547,3.88µm
net599,3.88µm
net669,3.88µm
net719,3.88µm
net724,3.88µm
_0156_,3.86µm
_0094_,3.805µm
_0058_,3.78µm
_1899_,3.78µm
_2113_,3.78µm
_2159_,3.78µm
net377,3.78µm
net430,3.78µm
net479,3.78µm
net604,3.78µm
net732,3.78µm
net753,3.78µm
net793,3.78µm
_0052_,3.76µm
_0281_,3.76µm
_0308_,3.76µm
_0460_,3.76µm
_0504_,3.76µm
_0582_,3.76µm
_0621_,3.76µm
_0667_,3.76µm
_0674_,3.76µm
net667,3.76µm
_1965_,3.74µm
net357,3.73µm
net360,3.73µm
_0849_,3.68µm
_2063_,3.68µm
_2158_,3.68µm
_2500_,3.68µm
net431,3.68µm
net578,3.68µm
net596,3.68µm
net622,3.68µm
net686,3.68µm
net790,3.68µm
net846,3.68µm
_0073_,3.66µm
_0198_,3.66µm
_0204_,3.66µm
_0346_,3.66µm
_0352_,3.66µm
_0359_,3.66µm
_0559_,3.66µm
_0574_,3.66µm
_0668_,3.66µm
_1820_,3.66µm
U_TOP.U_CACHE.if_hit_dphase_addr\[1\],3.64µm
_0142_,3.64µm
_1380_,3.64µm
_1050_,3.62µm
uio_oe[3],3.58µm
_0226_,3.56µm
_0248_,3.56µm
_1210_,3.56µm
_2657_,3.56µm
net475,3.56µm
net511,3.56µm
U_TOP.U_UART.U_SASC_TOP.rxd_r,3.54µm
net374,3.54µm
_0241_,3.54µm
_0403_,3.54µm
_0561_,3.54µm
_0578_,3.54µm
_0669_,3.54µm
_0750_,3.54µm
_1181_,3.54µm
_1287_,3.54µm
_1438_,3.54µm
_1461_,3.54µm
_1612_,3.54µm
_1662_,3.54µm
_1701_,3.54µm
_1872_,3.54µm
_2106_,3.54µm
_2486_,3.54µm
net494,3.54µm
net589,3.54µm
net614,3.54µm
net635,3.54µm
net713,3.54µm
_0181_,3.52µm
_0268_,3.52µm
_1649_,3.52µm
_2086_,3.52µm
_0064_,3.515µm
_0088_,3.465µm
_0098_,3.465µm
_1580_,3.44µm
_1728_,3.44µm
_2143_,3.44µm
_2300_,3.44µm
_2404_,3.44µm
_2715_,3.44µm
_2072_,3.43µm
_0165_,3.42µm
_1383_,3.42µm
_1463_,3.42µm
_1758_,3.42µm
_2034_,3.42µm
_2162_,3.42µm
_2266_,3.42µm
_2476_,3.42µm
_2494_,3.42µm
_2563_,3.42µm
_2667_,3.42µm
net399,3.42µm
net775,3.42µm
_1140_,3.325µm
_0060_,3.32µm
net406,3.32µm
_0172_,3.3µm
_0288_,3.3µm
_0498_,3.3µm
_0544_,3.3µm
_0550_,3.3µm
_0552_,3.3µm
_0660_,3.3µm
net477,3.3µm
net368,3.27µm
_0114_,3.225µm
_0477_,3.22µm
_0967_,3.22µm
_2382_,3.22µm
net393,3.22µm
net760,3.22µm
net828,3.22µm
_0002_,3.2µm
_0080_,3.2µm
_0171_,3.2µm
_0272_,3.2µm
_0282_,3.2µm
_0316_,3.2µm
_0348_,3.2µm
_0360_,3.2µm
_0366_,3.2µm
_0375_,3.2µm
_0384_,3.2µm
_0385_,3.2µm
_0388_,3.2µm
_0394_,3.2µm
_0433_,3.2µm
_0478_,3.2µm
_0563_,3.2µm
_0594_,3.2µm
_0601_,3.2µm
_0609_,3.2µm
_0610_,3.2µm
_0639_,3.2µm
_1439_,3.2µm
net492,3.2µm
net615,3.2µm
_0079_,3.18µm
_0694_,3.1µm
_1623_,3.1µm
_2031_,3.1µm
_2083_,3.1µm
_2512_,3.1µm
net484,3.1µm
U_TOP.U_CPU.dr_data_keep\[2\],3.08µm
U_TOP.U_UART.U_SASC_TOP.rxd_dly\[5\],3.08µm
_0184_,3.08µm
_0347_,3.08µm
_0373_,3.08µm
_0505_,3.08µm
_0571_,3.08µm
_0603_,3.08µm
_0614_,3.08µm
_0640_,3.08µm
_0647_,3.08µm
_0811_,3.08µm
_1059_,3.08µm
_1147_,3.08µm
_1639_,3.08µm
_1715_,3.08µm
_1790_,3.08µm
_1853_,3.08µm
_2122_,3.08µm
_2444_,3.08µm
_2489_,3.08µm
