net,length_um
U_TOP.U_CACHE.ic_d1\[15\],61.16µm
_1071_,60.84µm
net308,60.77µm
_1953_,60.64µm
_0957_,60.56µm
_1556_,60.41µm
clknet_leaf_14_clk,60.34µm
U_TOP.U_UART.rxd_dphase,60.3µm
_1602_,59.61µm
_0703_,59.5µm
_1622_,59.28µm
U_TOP.U_CACHE.dc_d1\[28\],59.08µm
net322,59.03µm
_2036_,59.02µm
U_TOP.U_CACHE.dc_d0\[1\],58.875µm
net216,58.805µm
U_TOP.U_CACHE.dc_d1\[30\],58.385µm
U_TOP.U_CPU.seq\[1\],58.36µm
net86,58.33µm
_2277_,58.28µm
U_TOP.U_UART.BRG.div1\[0\],58.24µm
_1516_,58.08µm
_1545_,57.96µm
U_TOP.U_CPU.if_do_dphase,57.88µm
U_TOP.U_CACHE.dc_d1\[14\],57.78µm
U_TOP.U_CACHE.dc_a0\[10\],57.6µm
net220,57.38µm
U_TOP.U_CACHE.dc_d0\[10\],57.22µm
U_TOP.U_CACHE.dc_d1\[29\],57.145µm
_0740_,56.96µm
U_TOP.U_CACHE.dc_a0\[4\],56.88µm
U_TOP.U_RAM.addr\[0\],56.77µm
U_TOP.U_CACHE.dc_d0\[14\],56.67µm
ui_in[7],56.36µm
U_TOP.U_CACHE.dc_a0\[5\],56.35µm
_1914_,56.34µm
_0743_,56.07µm
_1521_,56.04µm
_1860_,55.92µm
_2378_,55.84µm
_0720_,55.78µm
_1664_,55.66µm
_1984_,55.6µm
net154,55.57µm
_1685_,55.56µm
_1112_,55.54µm
net327,55.41µm
net14,55.23µm
U_TOP.U_CACHE.dc_d1\[9\],55.22µm
_1304_,55.14µm
U_TOP.U_CACHE.dm_hit_dphase_addr\[1\],54.94µm
_0919_,54.7µm
_0924_,54.68µm
net93,54.68µm
_1375_,54.41µm
_1946_,54.16µm
_1553_,54.1µm
_1225_,54.04µm
_2628_,54.01µm
_1989_,53.98µm
_1288_,53.86µm
U_TOP.U_RAM.QSPI_SIO_O\[0\],53.76µm
_1691_,53.62µm
net332,53.49µm
_0735_,53.42µm
U_TOP.U_CACHE.dm_mis_dphase_write,53.34µm
net217,53.26µm
net137,53.22µm
_1120_,53.19µm
U_TOP.U_RAM.state\[0\],53.15µm
net16,53.14µm
U_TOP.U_UART.BRG.div1\[3\],53.04µm
U_TOP.U_UART.BRG.div1\[1\],52.995µm
clknet_leaf_4_clk,52.9µm
net262,52.82µm
U_TOP.U_UART.U_SASC_TOP.rx_fifo.din\[3\],52.66µm
_1474_,52.58µm
_0925_,52.57µm
U_TOP.U_RAM.addr\[5\],52.48µm
_1898_,52.42µm
_2387_,52.4µm
_1168_,52.28µm
U_TOP.U_CACHE.bus_count\[1\],52.27µm
U_TOP.U_CACHE.dc_d0\[19\],52.08µm
U_TOP.U_UART.BRG.div0\[0\],52.06µm
_0717_,52.06µm
U_TOP.U_CACHE.dc_d0\[16\],51.88µm
_0739_,51.8µm
U_TOP.U_RAM.seq\[1\],51.69µm
U_TOP.U_CACHE.ic_a1\[5\],51.54µm
_1624_,51.5µm
U_TOP.U_RAM.addr\[13\],51.32µm
_0965_,51.28µm
U_TOP.U_CACHE.IF_ADDR\[5\],51.08µm
U_TOP.U_CACHE.dc_a0\[9\],50.82µm
U_TOP.U_UART.BRG.div0\[1\],50.675µm
_1247_,50.66µm
U_TOP.U_UART.U_SASC_TOP.rx_fifo.din\[6\],50.54µm
_2493_,50.42µm
_0947_,50.415µm
_2025_,50.28µm
_0949_,50.225µm
_1263_,50.14µm
U_TOP.U_RAM.addr\[14\],49.96µm
_0744_,49.84µm
_2362_,49.79µm
U_TOP.U_UART.U_SASC_TOP.rx_fifo.din\[1\],49.74µm
_0928_,49.64µm
_1827_,49.58µm
_1529_,49.48µm
_0926_,49.165µm
U_TOP.U_RAM.addr\[9\],48.87µm
_1511_,48.74µm
_0962_,48.6µm
_2348_,48.53µm
U_TOP.U_CPU.ir_data\[7\],48.5µm
net155,48.41µm
_2369_,48.4µm
_1966_,48.38µm
U_TOP.U_UART.BRG.div1\[4\],48.3µm
U_TOP.U_CACHE.dc_a0\[8\],48.28µm
U_TOP.U_CACHE.dc_d0\[0\],48.28µm
_2458_,48.26µm
_0695_,48.23µm
_2532_,48.14µm
_1613_,48.02µm
_0781_,47.92µm
U_TOP.U_UART.U_SASC_TOP.din_i\[0\],47.84µm
net466,47.75µm
_1610_,47.74µm
_2312_,47.7µm
_1600_,47.66µm
_1062_,47.58µm
U_TOP.U_UART.BRG.div0\[2\],47.54µm
_1515_,47.38µm
net180,47µm
_1856_,46.945µm
U_TOP.U_UART.U_SASC_TOP.rx_fifo.din\[2\],46.94µm
_1659_,46.935µm
net340,46.92µm
_1082_,46.88µm
uio_in[2],46.77µm
_0777_,46.6µm
_0736_,46.56µm
_1861_,46.52µm
U_TOP.U_CACHE.ic_d1\[19\],46.48µm
_1689_,46.44µm
_1852_,46.38µm
_0927_,46.23µm
U_TOP.U_RAM.addr\[10\],46.16µm
U_TOP.U_RAM.addr\[4\],46.08µm
_1890_,46.06µm
_1658_,45.98µm
net225,45.94µm
U_TOP.U_UART.U_SASC_TOP.tx_fifo.wp\[0\],45.92µm
net335,45.87µm
U_TOP.U_UART.BRG.ps\[3\],45.78µm
_1254_,45.76µm
_1653_,45.6µm
U_TOP.U_CACHE.dc_d1\[16\],45.44µm
U_TOP.U_CPU.seq\[2\],45.36µm
_1124_,45.23µm
_1838_,45.06µm
U_TOP.U_UART.BRG.div0\[6\],45µm
U_TOP.U_UART.U_SASC_TOP.rx_fifo.wp\[0\],44.7µm
_0850_,44.58µm
_2543_,44.56µm
_1300_,44.52µm
_0775_,44.43µm
U_TOP.U_RAM.addr\[15\],44.42µm
U_TOP.U_UART.U_SASC_TOP.rx_fifo.rp\[1\],44.34µm
_1251_,44.16µm
_1190_,44.14µm
U_TOP.U_CACHE.dc_d0\[28\],44.1µm
U_TOP.U_RAM.addr\[6\],44.02µm
_1543_,43.96µm
U_TOP.U_RAM.addr\[12\],43.9µm
_2326_,43.86µm
U_TOP.U_UART.BRG.div0\[5\],43.82µm
_1645_,43.82µm
U_TOP.U_CACHE.dc_d1\[31\],43.705µm
_1710_,43.5µm
U_TOP.U_CACHE.dc_d1\[27\],43.345µm
_1293_,43.34µm
_1753_,43.26µm
_0751_,43.2µm
U_TOP.U_RAM.seq\[2\],43.13µm
_1647_,43.04µm
U_TOP.U_CACHE.dc_d1\[12\],42.88µm
_1106_,42.78µm
