Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_70_54,VPWR,li1,28.2900,195.8400,1.799999
FILLER_70_46,VPWR,li1,25.7600,195.8400,1.800000
FILLER_70_27,VPWR,li1,15.4100,195.8400,1.800000
FILLER_70_15,VPWR,li1,12.4200,195.8400,1.800000
FILLER_70_3,VPWR,li1,6.9000,195.8400,1.800000
FILLER_69_634,VPWR,li1,294.6300,190.4000,1.799998
FILLER_69_561,VPWR,li1,261.0500,190.4000,1.799997
FILLER_69_520,VPWR,li1,242.1900,190.4000,1.799992
FILLER_69_503,VPWR,li1,234.3700,190.4000,1.799991
FILLER_69_454,VPWR,li1,212.2900,190.4000,1.799996
FILLER_69_449,VPWR,li1,209.5300,190.4000,1.799997
FILLER_69_447,VPWR,li1,208.6100,190.4000,1.799997
FILLER_69_422,VPWR,li1,197.1100,190.4000,1.799997
FILLER_69_368,VPWR,li1,173.4200,190.4000,1.799999
FILLER_69_356,VPWR,li1,169.2800,190.4000,1.799999
FILLER_69_348,VPWR,li1,163.0700,190.4000,1.799998
FILLER_69_296,VPWR,li1,139.6100,190.4000,1.799998
FILLER_69_281,VPWR,li1,132.7100,190.4000,1.799999
FILLER_69_279,VPWR,li1,131.3300,190.4000,1.799998
FILLER_69_263,VPWR,li1,125.1200,190.4000,1.799998
FILLER_69_238,VPWR,li1,112.4700,190.4000,1.799998
FILLER_69_201,VPWR,li1,95.9100,190.4000,1.799999
FILLER_69_192,VPWR,li1,91.3100,190.4000,1.799999
FILLER_69_183,VPWR,li1,87.1700,190.4000,1.799999
FILLER_69_179,VPWR,li1,86.0200,190.4000,1.799999
FILLER_69_150,VPWR,li1,72.2200,190.4000,1.799998
FILLER_69_113,VPWR,li1,57.5000,190.4000,1.799999
FILLER_69_55,VPWR,li1,28.2900,190.4000,1.799998
FILLER_69_51,VPWR,li1,27.1400,190.4000,1.799998
FILLER_69_11,VPWR,li1,8.0500,190.4000,1.799998
FILLER_69_3,VPWR,li1,5.9800,190.4000,1.799998
FILLER_68_712,VPWR,li1,330.5100,190.4000,1.799999
FILLER_68_699,VPWR,li1,324.5300,190.4000,1.799998
FILLER_68_587,VPWR,li1,273.0100,190.4000,1.799997
